work_key,title,author,publishers,first_sale_month,active_months,lifetime_net_sales,cum_1m_net_sales,observed_1m,cum_3m_net_sales,observed_3m,cum_6m_net_sales,observed_6m,cum_12m_net_sales,observed_12m,platform_count_12m,top_platform_share_12m
삼절지존1|||와룡강,삼절지존1,와룡강,프로무림,2021-02,60,3598509,49836,Y,143044,Y,303788,Y,757508,Y,7,0.4654
삼절지존2|||와룡강,삼절지존2,와룡강,프로무림,2021-02,59,417342,19130,Y,23810,Y,55440,Y,105700,Y,5,0.4842
삼절지존3|||와룡강,삼절지존3,와룡강,프로무림,2021-02,59,373692,14520,Y,20390,Y,51120,Y,98050,Y,5,0.488
삼절지존4|||와룡강,삼절지존4,와룡강,프로무림,2021-02,60,543732,19530,Y,27230,Y,71560,Y,142390,Y,6,0.3507
상문령|||홍파,상문령,홍파,프로무림,2021-02,52,233503,4227,Y,19920,Y,31817,Y,59402,Y,7,0.3448
새비어 매니저|||김종휘,새비어 매니저,김종휘,프로무림,2021-02,14,34453,500,Y,5000,Y,5600,Y,7400,Y,2,0.9189
색황|||제갈천,색황,제갈천,프로무림,2021-02,59,875498,25905,Y,52925,Y,101250,Y,208084,Y,5,0.4373
색황귀환|||청산,색황귀환,청산,프로무림,2021-02,60,1637090,32896,Y,89188,Y,284539,Y,509881,Y,10,0.2595
생사금고|||몽월,생사금고,몽월,프로무림,2021-02,58,1996631,17300,Y,55800,Y,498100,Y,1000000,Y,4,0.7312
생사대작|||사마달,생사대작,사마달,프로무림,2021-02,59,361494,7866,Y,14826,Y,32269,Y,72707,Y,8,0.6379
생사번천|||사마달,생사번천,사마달,프로무림,2021-02,59,647553,11387,Y,26113,Y,63944,Y,129493,Y,7,0.2961
생사신|||몽월,생사신,몽월,프로무림,2021-02,59,10494528,27000,Y,36000,Y,87300,Y,130500,Y,4,0.4759
생사지존|||강태산,생사지존,강태산,프로무림,2021-02,55,144038,1779,Y,8089,Y,21961,Y,40701,Y,7,0.5211
생존자|||이원호,생존자,이원호,프로무림,2021-02,54,744806,18000,Y,50100,Y,70000,Y,133300,Y,7,0.6527
섀도우비스트|||김재한,섀도우비스트,김재한,프로무림,2021-02,16,63423,567,Y,3717,Y,3717,Y,17087,Y,3,0.7456
선검|||유재무,선검,유재무,포텐|프로무림,2021-02,59,16223311,25778,Y,201602,Y,482622,Y,1107072,Y,12,0.2629
선검 완|||유재무,선검 완,유재무,프로무림,2021-02,59,3009760,9440,Y,21100,Y,95263,Y,311527,Y,6,0.4305
선자불래|||사마달,선자불래,사마달,프로무림,2021-02,55,148222,1062,Y,6672,Y,16736,Y,37908,Y,7,0.4497
성수탕마기|||서효원,성수탕마기,서효원,프로무림,2021-02,58,1402801,60529,Y,91756,Y,150724,Y,312466,Y,9,0.2722
소|||강태산,소,강태산,프로무림,2021-02,45,229506,8546,Y,27949,Y,44380,Y,80476,Y,6,0.6002
소뢰아|||강태산,소뢰아,강태산,프로무림,2021-02,60,4538191,81441,Y,472546,Y,867109,Y,1672155,Y,15,0.6225
소림삼십칠방|||몽월,소림삼십칠방,몽월,프로무림,2021-02,53,1582665,14200,Y,25000,Y,406800,Y,845100,Y,5,0.8895
소마무적|||강태산,소마무적,강태산,프로무림,2021-02,53,219581,1069,Y,15223,Y,23073,Y,35873,Y,5,0.4016
