작품,작가,출판사,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,총합
구인광고,장소영,러브홀릭,0.0,0.0,13300.0,12600.0,6300.0,6300.0,19600.0,20300.0,0.0,19600.0,9800.0,0.0,0.0,0.0,18900.0,6300.0,6300.0,6300.0,0.0,3500.0,9800.0,12600.0,0.0,0.0,6300.0,0.0,7402.0,6300.0,0.0,7230.0,0.0,0.0,0.0,6300.0,0.0,0.0,0.0,6300.0,0.0,6300.0,0.0,14552.0,6466.0,12600.0,0.0,7560.0,5880.0,0.0,0.0,0.0,0.0,0.0,6300.0,0.0,0.0,7894.0,17393.0,0.0,3500.0,0.0,299777.0
화신,강태산,프로무림,5147.0,9877.0,8872.0,5268.0,6623.0,7770.0,10839.0,6899.0,8723.0,1715.0,0.0,2091.0,2911.0,14841.0,3088.0,5454.0,2993.0,2153.0,2667.0,4327.0,5810.0,2111.0,1010.0,3981.0,4369.0,3705.0,5831.0,2721.0,3432.0,4444.0,571.0,1214.0,917.0,2138.0,2729.0,5103.0,11459.0,4311.0,2452.0,4620.0,10310.0,5620.0,6522.0,2609.0,8644.0,3242.0,7571.0,2268.0,1764.0,11573.0,6312.0,4435.0,13912.0,3126.0,6904.0,9326.0,0.0,3247.0,543.0,6441.0,299555.0
사랑으로 가는길,조안나 린지,현대문화센타,20000.0,25000.0,10000.0,29200.0,20000.0,10000.0,0.0,5000.0,0.0,15000.0,0.0,5000.0,10000.0,5000.0,15000.0,10000.0,10000.0,0.0,10000.0,0.0,6000.0,0.0,11280.0,4200.0,0.0,10000.0,0.0,6000.0,0.0,10640.0,0.0,5256.0,0.0,0.0,0.0,5640.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,5000.0,0.0,5400.0,0.0,0.0,0.0,0.0,5000.0,4850.0,0.0,0.0,0.0,0.0,0.0,9850.0,299316.0
혈의천사,고월,초록배,9000.0,5868.0,6300.0,900.0,2700.0,9756.0,10300.0,13500.0,10800.0,900.0,900.0,0.0,2700.0,4968.0,2700.0,2700.0,8100.0,6678.0,2700.0,15235.0,5652.0,6091.0,8828.0,8359.0,79825.0,13025.0,0.0,900.0,3946.0,3046.0,6091.0,9000.0,2700.0,2030.0,3078.0,3046.0,3084.0,0.0,0.0,2700.0,4943.0,3492.0,0.0,5567.0,2619.0,0.0,0.0,0.0,873.0,0.0,0.0,0.0,873.0,0.0,0.0,0.0,0.0,1845.0,0.0,873.0,299191.0
속으로,쉐도우스,올나이트노벨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6930.0,7668.0,38304.0,28764.0,16246.0,15260.0,32487.0,19880.0,17269.0,15080.0,81190.0,15960.0,3845.0,204.0,299087.0
아들상간,유설화,루비출판,20300.0,4060.0,8120.0,8120.0,4060.0,10150.0,12180.0,18270.0,12180.0,20300.0,6090.0,8120.0,16240.0,14210.0,6090.0,4060.0,4060.0,16240.0,18270.0,12180.0,6090.0,2030.0,6090.0,6090.0,0.0,2030.0,2030.0,2030.0,0.0,6090.0,0.0,4060.0,2030.0,2030.0,0.0,0.0,0.0,3654.0,1827.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.0,0.0,0.0,0.0,0.0,7308.0,0.0,0.0,0.0,1827.0,7308.0,1827.0,3654.0,3654.0,1827.0,298613.0
생사지존,와룡강,청솔,7560.0,1015.0,3600.0,6925.0,0.0,14009.0,18233.0,3391.0,5892.0,3421.0,4701.0,7200.0,10260.0,23579.0,1609.0,3600.0,9000.0,8331.0,5885.0,3864.0,5400.0,18000.0,0.0,900.0,1671.0,0.0,14400.0,1557.0,14400.0,2700.0,2700.0,9809.0,2700.0,4293.0,560.0,0.0,900.0,0.0,7020.0,1380.0,5405.0,8730.0,1271.0,386.0,3600.0,1800.0,9000.0,0.0,900.0,1773.0,2263.0,0.0,13500.0,5797.0,3574.0,2619.0,900.0,5026.0,0.0,0.0,297009.0
자유를 향한 비상구,장소영,러브홀릭,3000.0,0.0,6500.0,20500.0,6500.0,21000.0,3000.0,14000.0,7000.0,28000.0,7000.0,6500.0,3500.0,3500.0,24500.0,10500.0,6500.0,0.0,3500.0,10500.0,17000.0,10000.0,0.0,0.0,24000.0,17500.0,3500.0,3000.0,0.0,0.0,3500.0,14000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,6500.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,297000.0
겨울 숲의 아르덴,나리타,오드아이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173433.0,123513.0,296946.0
붉은 나비 혈접인 하,사마달,프로무림,1932.0,3530.0,1623.0,5703.0,5492.0,2323.0,14715.0,4111.0,7818.0,807.0,14059.0,5291.0,2383.0,5634.0,4844.0,5145.0,20330.0,2370.0,8297.0,2521.0,10585.0,3927.0,1053.0,3527.0,2015.0,1764.0,1293.0,7484.0,8438.0,2876.0,5205.0,3525.0,5056.0,2622.0,861.0,1656.0,4460.0,3642.0,9068.0,2725.0,3120.0,2858.0,3732.0,4069.0,4346.0,4127.0,8972.0,6151.0,5445.0,4098.0,12726.0,7371.0,5186.0,5021.0,1989.0,504.0,2386.0,3351.0,2828.0,7615.0,296605.0
가져보려 한다,길안,LINE,98800.0,7600.0,7600.0,19000.0,95000.0,30400.0,7600.0,22800.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296400.0
용비가,고월,대명종,2037.0,1494.0,900.0,9191.0,7604.0,5438.0,11443.0,13369.0,10588.0,7162.0,1969.0,6280.0,751.0,7493.0,6294.0,7453.0,3050.0,7346.0,6670.0,9195.0,10233.0,2245.0,10273.0,2376.0,5133.0,4491.0,519.0,3138.0,6317.0,10754.0,3663.0,2202.0,7905.0,0.0,2126.0,0.0,3294.0,4037.0,1212.0,5564.0,6862.0,10800.0,2819.0,1286.0,7052.0,3479.0,573.0,3521.0,2622.0,7044.0,6752.0,7132.0,3067.0,1282.0,3222.0,2594.0,7815.0,2652.0,1721.0,2700.0,296204.0
천하제일검,여혼,스토리야,284020.0,12060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296080.0
전쟁 중 각성한 말단병사1,먹잇감,글로번,28800.0,267210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296010.0
무법자,이원호,프로무림,15900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13116.0,44560.0,11440.0,1795.0,1032.0,800.0,0.0,1513.0,0.0,16408.0,12152.0,17163.0,7129.0,11144.0,640.0,4968.0,12960.0,16632.0,8587.0,3456.0,11663.0,6829.0,0.0,3800.0,0.0,4900.0,8992.0,600.0,7992.0,2000.0,0.0,16284.0,0.0,0.0,108.0,0.0,100.0,12852.0,2052.0,13932.0,2376.0,0.0,295875.0
소림사,금강,문피아,269900.0,19200.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295500.0
금수사,와룡생 | 왕문정 번역,홍익CNC,1955.0,7738.0,630.0,630.0,8141.0,5278.0,2998.0,121.0,0.0,10991.0,14457.0,332.0,5099.0,1134.0,7000.0,1323.0,4001.0,1859.0,1400.0,0.0,5216.0,3061.0,0.0,5197.0,8665.0,2721.0,17490.0,0.0,0.0,680.0,8927.0,0.0,5482.0,1400.0,1260.0,2268.0,2948.0,12671.0,0.0,14000.0,7000.0,2451.0,0.0,4230.0,0.0,9671.0,3596.0,28602.0,0.0,6403.0,26656.0,25688.0,8246.0,420.0,680.0,441.0,2721.0,1400.0,0.0,0.0,295278.0
대망,관측불가,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295093.0
염왕진천하,장산,인타임 네트워크,128700.0,137800.0,28200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294700.0
