작품,작가,출판사,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,총합
깜빵에서 재벌까지,베이스,포텐,0.0,0.0,0.0,0.0,0.0,0.0,774400.0,25623078.0,10272982.0,9775704.0,5564773.0,7200589.0,6463886.0,8915717.0,2386007.0,1293589.0,2805088.0,963305.0,708075.0,5233329.0,5886977.0,10836157.0,5928439.0,2416049.0,2324426.0,2591676.0,1493330.0,1121800.0,780768.0,1210049.0,1048079.0,1724544.0,1404420.0,969426.0,746707.0,1119176.0,1866962.0,1859904.0,2445337.0,1352923.0,2355190.0,1859286.0,1450244.0,1228144.0,3835461.0,3674406.0,1997015.0,1266519.0,1474769.0,1372663.0,1196675.0,930781.0,798066.0,759876.0,918844.0,698112.0,714037.0,1349250.0,910854.0,785655.0,166683518.0
리라이프 에이전트,강동호,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310970.0,7472292.0,4088238.0,2299449.0,2345520.0,3360998.0,2090162.0,1908349.0,1527068.0,824282.0,443905.0,502049.0,5429955.0,5245650.0,22495457.0,8553228.0,4013452.0,3233324.0,6212489.0,7641006.0,6522217.0,8772683.0,3765280.0,3267470.0,2504943.0,3399155.0,3027663.0,2136955.0,10721489.0,9419965.0,2060847.0,2269070.0,1646852.0,2801928.0,152314360.0
킬 더 엠페러,트릭스터,포텐,980.0,820104.0,20846166.0,6749038.0,1934690.0,3233793.0,1856533.0,1422732.0,1217700.0,1040435.0,930827.0,934340.0,5340149.0,5324817.0,4340516.0,1945511.0,2167387.0,858419.0,1425454.0,10181530.0,23055913.0,5786899.0,2615322.0,1921404.0,1267141.0,3935453.0,1519690.0,658649.0,1184587.0,1745364.0,1207227.0,774945.0,1392031.0,2048353.0,1170258.0,1492992.0,1317413.0,353807.0,350854.0,603270.0,799329.0,511581.0,422160.0,284899.0,876010.0,294591.0,593935.0,794473.0,282278.0,362085.0,346804.0,8637169.0,3236148.0,992861.0,326367.0,190564.0,734114.0,1099037.0,374320.0,500390.0,148631808.0
EX급 절대반지를 얻었다,김현준,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3219134.0,5767653.0,5040978.0,13773174.0,10112607.0,7680058.0,10406470.0,10405099.0,7067106.0,2680908.0,11180563.0,5582301.0,8889841.0,3697535.0,13113487.0,6426771.0,4082042.0,3295913.0,2513294.0,4597144.0,139532078.0
고려는 천조국이 되기로 하였습니다,소라게,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3425.0,4013.0,17333311.0,14551385.0,6543108.0,7436069.0,11731521.0,18280658.0,7489754.0,4008224.0,2898708.0,3929499.0,1723502.0,4424438.0,1848980.0,2679361.0,3236609.0,2728035.0,5525389.0,2911480.0,2088354.0,2342035.0,1612642.0,2137127.0,928297.0,941496.0,842998.0,815115.0,631014.0,847451.0,953903.0,1415694.0,1168399.0,697867.0,699729.0,137409590.0
힘 마스터,강철민,포텐,0.0,0.0,0.0,0.0,1555594.0,2520171.0,3466253.0,4616210.0,4478467.0,3368775.0,3553962.0,7131981.0,6624019.0,8976647.0,5353417.0,2976978.0,4986802.0,2005192.0,5295789.0,6891861.0,2335784.0,3595046.0,4285590.0,1812889.0,1353410.0,6626133.0,3395125.0,5131000.0,2221456.0,2008171.0,1022395.0,1213974.0,1458497.0,1297724.0,1212356.0,875240.0,884514.0,2104272.0,721844.0,890239.0,1751935.0,683801.0,980934.0,1704988.0,1045047.0,884064.0,495448.0,1705880.0,798741.0,322265.0,893777.0,770466.0,602608.0,582677.0,1115300.0,1458661.0,894076.0,636537.0,516269.0,548534.0,136639785.0
화산대도,송재일,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228294.0,10754912.0,4318399.0,4899661.0,3331036.0,4720517.0,3402219.0,2707903.0,2175625.0,4479346.0,2414808.0,1826338.0,1339651.0,5363463.0,1791925.0,728943.0,491502.0,780154.0,2561861.0,4552937.0,12973062.0,8017412.0,5647271.0,3541488.0,2130372.0,3905806.0,10075988.0,3624359.0,3985538.0,2251178.0,3517663.0,1602180.0,1018816.0,880937.0,962465.0,705582.0,603289.0,568950.0,639624.0,606699.0,577662.0,429248.0,589455.0,321234.0,1165368.0,133211140.0
마법 배운 재벌집 늦둥이,서오,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5166523.0,2118542.0,650421.0,22303389.0,11225529.0,6146614.0,4399961.0,11135171.0,3151842.0,2309887.0,1639720.0,2251949.0,5627218.0,5958982.0,7204102.0,3216124.0,1184017.0,5171108.0,3233879.0,1611355.0,1561215.0,1208975.0,1062979.0,756140.0,1884684.0,967427.0,833006.0,568240.0,2212608.0,727662.0,411869.0,641198.0,1098421.0,539124.0,1345932.0,701710.0,649037.0,429500.0,414590.0,466420.0,516810.0,372986.0,344184.0,956710.0,478769.0,411908.0,276526.0,363993.0,127908956.0
무신 돌아오다,윤신현,포텐,15118953.0,8929798.0,6700649.0,4460093.0,6857423.0,2255607.0,2165716.0,1601548.0,1586419.0,1435001.0,1306557.0,4390131.0,20558984.0,4262980.0,1484984.0,1120858.0,991016.0,1737119.0,848719.0,1636074.0,1519796.0,2635827.0,876211.0,586946.0,927541.0,848349.0,1848829.0,1019104.0,1577087.0,605286.0,1095777.0,1015006.0,619783.0,525050.0,503892.0,623288.0,1030952.0,1017118.0,1591097.0,1193261.0,795568.0,611174.0,858481.0,736019.0,453523.0,551518.0,795551.0,656259.0,535479.0,1124249.0,1045654.0,643499.0,431985.0,872543.0,640133.0,1249768.0,212858.0,476863.0,1200560.0,523132.0,125523645.0
재벌생활기록부,백범(白帆),포텐,0.0,0.0,0.0,0.0,0.0,952080.0,19463485.0,2969571.0,10545782.0,8832192.0,7388513.0,2619773.0,2134489.0,2348540.0,1762614.0,3514347.0,2398515.0,3976625.0,3489715.0,2862993.0,1322201.0,1491123.0,2132055.0,2754107.0,1388075.0,1523622.0,1707726.0,1971650.0,802127.0,1057227.0,482104.0,828542.0,1145438.0,2350321.0,851751.0,951878.0,1233998.0,1028264.0,1041755.0,882395.0,1116315.0,923663.0,833214.0,889608.0,989001.0,720782.0,604324.0,1311610.0,2996065.0,2120346.0,2098763.0,1683917.0,1407761.0,1143969.0,126141.0,39800.0,41551.0,26410.0,6791.0,34827.0,121320451.0
만렙요원 재벌이 되다,준강,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092842.0,1274903.0,11376515.0,8735054.0,6037554.0,5639240.0,4632518.0,3282444.0,2905296.0,3481357.0,2498824.0,2590895.0,2864662.0,2567626.0,1974185.0,1634417.0,4247360.0,2181658.0,2235556.0,2273055.0,3340000.0,4568379.0,6624967.0,4500415.0,4632375.0,2560743.0,2507462.0,1618536.0,1250675.0,1347270.0,1215801.0,1791859.0,1567278.0,1319255.0,1314377.0,113685353.0
