=== Genre Library Builder 시작: 2026-02-04T17:15:49.807264 ===
작품 수: 10

[ 1434.4s] 1980독식재         | 추출중      |  53% |  17블록 | Block 18/44
[ 1437.0s] 불행재벌            | 추출중      |  41% |  12블록 | Block 13/63
[ 1438.2s] 마법배             | 추출중      |  39% |  14블록 | Block 15/91
[ 1453.1s] 투자백서            | 추출중      |  30% |   0블록 | 72개 블록 추출 시작
[ 1453.1s] 투자백서            | 추출중      |  30% |   0블록 | Block 1/72
[ 1455.3s] 재벌 총수           | 추출중      |  46% |  18블록 | Block 19/64
[ 1459.6s] 재첫              | 추출중      |  39% |  11블록 | Block 12/72
[ 1471.9s] 회몰투             | 추출중      |  44% |  14블록 | Block 15/59
[ 1482.7s] 악당 재벌           | 추출중      |  52% |  13블록 | Block 14/34
[ 1486.8s] 1980독식재         | 추출중      |  54% |  18블록 | Block 19/44
[ 1490.0s] 복수재벌            | 추출중      |  47% |  11블록 | Block 12/38
[ 1493.7s] 불행재벌            | 추출중      |  42% |  13블록 | Block 14/63
[ 1498.5s] 마법배             | 추출중      |  39% |  15블록 | Block 16/91
[ 1498.8s] 재벌 총수           | 추출중      |  47% |  19블록 | Block 20/64
[ 1504.2s] 재첫              | 추출중      |  40% |  12블록 | Block 13/72
[ 1514.2s] 회몰투             | 추출중      |  45% |  15블록 | Block 16/59
[ 1518.8s] 투자백서            | 추출중      |  30% |   1블록 | Block 2/72
[ 1526.5s] 악당 재벌           | 추출중      |  54% |  14블록 | Block 15/34
[ 1537.6s] 복수재벌            | 추출중      |  48% |  12블록 | Block 13/38
[ 1543.7s] 1980독식재         | 추출중      |  55% |  19블록 | Block 20/44
[ 1544.0s] 마법배             | 추출중      |  40% |  16블록 | Block 17/91
[ 1548.3s] 불행재벌            | 추출중      |  43% |  14블록 | Block 15/63
[ 1549.1s] 재벌 총수           | 추출중      |  48% |  20블록 | Block 21/64
[ 1554.9s] 재첫              | 추출중      |  40% |  13블록 | Block 14/72
[ 1556.9s] 투자백서            | 추출중      |  31% |   2블록 | Block 3/72
[ 1566.0s] 악당 재벌           | 추출중      |  56% |  15블록 | Block 16/34
[ 1575.7s] 회몰투             | 추출중      |  46% |  16블록 | Block 17/59
[ 1583.4s] 복수재벌            | 추출중      |  50% |  13블록 | Block 14/38
[ 1586.2s] 재벌 총수           | 추출중      |  49% |  21블록 | Block 22/64
[ 1586.7s] 불행재벌            | 추출중      |  44% |  15블록 | Block 16/63
[ 1589.2s] 마법배             | 추출중      |  41% |  17블록 | Block 18/91
[ 1598.9s] 1980독식재         | 추출중      |  57% |  20블록 | Block 21/44
[ 1610.1s] 투자백서            | 추출중      |  32% |   3블록 | Block 4/72
[ 1614.1s] 재첫              | 추출중      |  41% |  14블록 | Block 15/72
[ 1615.1s] 악당 재벌           | 추출중      |  58% |  16블록 | Block 17/34
[ 1620.5s] 독3              | 블록분할     |  25% |   0블록 | 76개 아크 → 블록 분할
[ 1623.3s] 회몰투             | 추출중      |  47% |  17블록 | Block 18/59
[ 1636.1s] 마법배             | 추출중      |  41% |  18블록 | Block 19/91
[ 1641.9s] 재벌 총수           | 추출중      |  50% |  22블록 | Block 23/64
[ 1642.4s] 불행재벌            | 추출중      |  45% |  16블록 | Block 17/63
[ 1645.3s] 1980독식재         | 추출중      |  58% |  21블록 | Block 22/44
[ 1650.8s] 복수재벌            | 추출중      |  52% |  14블록 | Block 15/38
[ 1656.5s] 투자백서            | 추출중      |  33% |   4블록 | Block 5/72
[ 1660.8s] 악당 재벌           | 추출중      |  60% |  17블록 | Block 18/34
[ 1661.7s] 재첫              | 추출중      |  42% |  15블록 | Block 16/72
[ 1674.7s] 마법배             | 추출중      |  42% |  19블록 | Block 20/91
[ 1696.8s] 회몰투             | 추출중      |  48% |  18블록 | Block 19/59
[ 1702.4s] 1980독식재         | 추출중      |  60% |  22블록 | Block 23/44
[ 1704.3s] 불행재벌            | 추출중      |  46% |  17블록 | Block 18/63
[ 1704.3s] 투자백서            | 추출중      |  34% |   5블록 | Block 6/72
[ 1705.8s] 재첫              | 추출중      |  43% |  16블록 | Block 17/72
[ 1712.1s] 복수재벌            | 추출중      |  53% |  15블록 | Block 16/38
[ 1722.9s] 악당 재벌           | 추출중      |  61% |  18블록 | Block 19/34
