작품,작가,출판사,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,총합
던전팜,인기영,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365707.0,7462086.0,30527277.0,4758808.0,3979588.0,2803147.0,3982433.0,1984483.0,2584636.0,2203284.0,2289920.0,3403273.0,1152878.0,1123489.0,649380.0,705565.0,608380.0,473219.0,2285748.0,2837117.0,3000262.0,1868183.0,2074430.0,2688742.0,1025446.0,1800042.0,1494232.0,2452107.0,1111972.0,699416.0,496816.0,461549.0,96353615.0
화가 아빠 다시 살다,킹묵,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2402.0,1226644.0,16594972.0,11977711.0,4496329.0,3823468.0,3680097.0,8430402.0,4011300.0,4244891.0,2086232.0,3172990.0,1035467.0,717490.0,1511002.0,2415621.0,4394097.0,1868334.0,1233581.0,617183.0,2288856.0,4038229.0,1170449.0,1133210.0,950815.0,709382.0,507058.0,326823.0,234042.0,405611.0,562280.0,211963.0,442245.0,217037.0,90738213.0
노가다 김씨 자동사냥으로 꿀 빱니다,쇼츠,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3747253.0,4677499.0,3327581.0,7527308.0,6797412.0,5567290.0,8652376.0,12120707.0,15056992.0,6213158.0,6283484.0,6843872.0,6729427.0,4671542.0,98215901.0
법보다 주먹,백범,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,4496100.0,10656100.0,2275440.0,1750560.0,1180750.0,743176.0,162540.0,30870.0,5810.0,8190.0,14490.0,7780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,5337192.0,4521305.0,5713652.0,5444957.0,4615464.0,4078260.0,4425702.0,7128271.0,8428569.0,5606038.0,6088219.0,3684591.0,3182056.0,3085364.0,2893540.0,2507269.0,1939802.0,1735608.0,2519888.0,2473052.0,106770656.0
복수하는 김에 재벌도 되겠습니다,유재무,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11739748.0,20434698.0,6384107.0,8695301.0,8163531.0,5312034.0,7892832.0,5735617.0,6380141.0,80738009.0
환생무적,눈매,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8057198.0,4076905.0,1739334.0,1558479.0,1132561.0,3326414.0,5618704.0,2376134.0,1609164.0,1344856.0,4816628.0,3322677.0,5845282.0,2394516.0,2106417.0,2073153.0,1781226.0,2115816.0,2211307.0,1039181.0,1029418.0,695630.0,645653.0,931279.0,803559.0,1120780.0,1131810.0,499252.0,490915.0,262496.0,330559.0,454933.0,605834.0,346695.0,748237.0,725971.0,568692.0,462160.0,462899.0,444541.0,659289.0,361642.0,1393248.0,699551.0,339142.0,205009.0,220325.0,286890.0,330231.0,155590.0,344727.0,290343.0,303909.0,563215.0,239920.0,245819.0,368426.0,435529.0,254384.0,1244707.0,80249161.0
재벌가 첫째아들,하늘곰,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996465.0,15439384.0,7077037.0,3140032.0,2013640.0,2396217.0,1407812.0,1340882.0,1282129.0,2268481.0,2582686.0,1409760.0,2071903.0,2179213.0,4459428.0,7375179.0,7044701.0,1374059.0,1018661.0,366719.0,450264.0,686218.0,624832.0,379586.0,491359.0,323008.0,276489.0,493103.0,519698.0,1151576.0,891527.0,562552.0,806613.0,428032.0,493930.0,415778.0,893656.0,461179.0,322992.0,386771.0,254850.0,283522.0,263064.0,465410.0,130468.0,280514.0,79981379.0
테니스 코트 위의 절대자,김군0619,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043035.0,6549886.0,5537048.0,6079791.0,6047768.0,5073509.0,4267509.0,4899146.0,3352695.0,4168476.0,3991735.0,4136059.0,3562151.0,4150381.0,2453867.0,2774735.0,1996214.0,1500429.0,1152651.0,927346.0,746836.0,736956.0,764611.0,575745.0,395878.0,572105.0,580687.0,468638.0,79505887.0
전장의 중기병으로 사는 법,글럼프,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3087488.0,8747117.0,25721831.0,21870816.0,18887687.0,78314939.0
내 몬스터만 스탯,쩡킴,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6845573.0,17710581.0,17741990.0,6538940.0,5726957.0,3471959.0,3183836.0,2527864.0,3609609.0,4292288.0,2733385.0,1447725.0,75830707.0
이혼 후 재벌 각성,백범,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106470.0,103810.0,39410.0,872550.0,284060.0,127120.0,1368500.0,267330.0,870850.0,398580.0,186480.0,109780.0,147540.0,108900.0,109980.0,51630.0,94820.0,121610.0,8625156.0,21349522.0,7044754.0,2811098.0,2924061.0,4070167.0,4858084.0,2785877.0,1544451.0,4704988.0,3981483.0,2328462.0,1602703.0,1508832.0,1773815.0,1393002.0,1029213.0,1044054.0,1320228.0,1029571.0,1195169.0,767241.0,985259.0,1211851.0,1146064.0,903148.0,1251770.0,806870.0,1647450.0,797007.0,989186.0,1318303.0,3621424.0,1157106.0,1085171.0,1413712.0,1036175.0,1839455.0,1378197.0,807986.0,1095786.0,884428.0,820235.0,585364.0,794671.0,902815.0,648699.0,114189483.0
슈퍼스타 누구도 막을 수 없어,구라천재,포텐,0.0,0.0,0.0,0.0,0.0,17920.0,0.0,2271087.0,2649465.0,1951390.0,7023758.0,4061015.0,6671224.0,7943149.0,4769382.0,1806211.0,1098227.0,2809509.0,1230850.0,686933.0,2371665.0,1031870.0,1647216.0,678495.0,841362.0,993084.0,482724.0,716057.0,380091.0,592685.0,742832.0,338384.0,577326.0,1469624.0,364347.0,482422.0,146830.0,536541.0,154475.0,115126.0,78454.0,130308.0,74403.0,167290.0,226002.0,112782.0,150335.0,92445.0,190856.0,684838.0,407880.0,117337.0,326250.0,490419.0,214044.0,245609.0,165001.0,236542.0,195727.0,146883.0,139679.0,339202.0,84246.0,79459.0,110330.0,452475.0,681213.0,508377.0,285067.0,138172.0,136649.0,173037.0,84838.0,137266.0,116319.0,74681.0,115248.0,343630.0,90340.0,45213.0,90279.0,85757.0,47198.0,60706.0,1803932.0,411031.0,261799.0,278766.0,175656.0,267122.0,110235.0,89304.0,92146.0,103213.0,89368.0,132845.0,72341479.0
평화로운 먼치킨 영지,인기영,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195772.0,6307134.0,8792784.0,2841041.0,1352258.0,6027208.0,1483332.0,323108.0,262530.0,4831143.0,2085183.0,1507437.0,1305124.0,2100959.0,2653152.0,2351926.0,1190426.0,624077.0,931240.0,924193.0,1098168.0,714767.0,489980.0,558959.0,471691.0,342281.0,368063.0,511145.0,359556.0,577538.0,437451.0,460432.0,665317.0,379117.0,403567.0,409422.0,981421.0,515947.0,241770.0,219739.0,209499.0,268774.0,278968.0,190958.0,212645.0,199310.0,249164.0,485693.0,404145.0,136004.0,192280.0,227023.0,187247.0,143045.0,130537.0,149064.0,211381.0,125736.0,120262.0,114362.0,67627.0,120419.0,83223.0,55842.0,116691.0,144619.0,95654.0,455620.0,1071567.0,237597.0,144034.0,168266.0,95673.0,104794.0,108613.0,115855.0,44917.0,56518.0,106526.0,62892.0,69989402.0
검은 머리 미국 대재벌,백범,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25109016.0,9662956.0,5520034.0,4030797.0,2515462.0,2900354.0,2277727.0,749507.0,686245.0,873568.0,1088215.0,835121.0,882083.0,465169.0,554607.0,403519.0,561762.0,450257.0,422050.0,456578.0,348433.0,366668.0,61160128.0
로그아웃이 너무 어렵다,이형석,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614892.0,22493937.0,3581551.0,3402648.0,2948626.0,3002678.0,2860636.0,2736403.0,1937221.0,1527714.0,2154189.0,1966303.0,1461895.0,1725675.0,858227.0,1454346.0,910602.0,648504.0,803466.0,1009235.0,928110.0,757500.0,436694.0,60221052.0
코드네임 사신,준강,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596863.0,589210.0,366007.0,1033336.0,5047409.0,1971508.0,1492305.0,1701465.0,1070192.0,950279.0,764295.0,837359.0,1333833.0,1197358.0,6630585.0,2807316.0,1163918.0,2405831.0,2684372.0,3780009.0,1748588.0,943714.0,1313363.0,1079287.0,1955745.0,1923429.0,1226117.0,1518826.0,1602956.0,849942.0,837975.0,486822.0,851310.0,1321510.0,890160.0,549795.0,748204.0,58271193.0
